,team1,team2,Temp,Wind_speed,team1_home_A,Game_id,astroturf,fieldturf,grass,matrixturf,sportturf
95,KC,DEN,14,11,0,CDEKN1,0,0,1,0,0
96,HOU,GB,72,0,1,BGHOU1,0,0,1,0,0
97,CAR,NO,72,0,0,ACNOR1,1,0,0,0,0
98,SF,NE,49,7,0,EFNS1,0,0,1,0,0
99,NYJ,BUF,52,8,1,BFJNUY2,0,1,0,0,0
100,PIT,TEN,55,3,0,EINPTT1,0,0,1,0,0
101,TB,OAK,72,0,0,ABKOT1,0,0,1,0,0
102,JAX,LAC,72,0,0,AACJLX1,0,0,0,1,0
103,DAL,WSH,46,5,0,ADHLSW1,0,0,1,0,0
104,CHI,LAR,72,0,0,ACHILR1,0,0,0,1,0
105,CAR,ATL,76,8,1,AACLRT2,0,0,1,0,0
106,NE,BUF,41,17,0,BEFNU1,1,0,0,0,0
107,CHI,NO,40,20,1,CHINO1,0,0,1,0,0
108,CIN,TEN,48,24,1,CEINNT1,0,0,1,0,0
109,OAK,CLE,49,35,0,ACEKLO1,0,0,1,0,0
110,LAC,DEN,64,10,0,ACDELN1,0,0,1,0,0
111,IND,DET,72,0,0,DDEINT1,0,1,0,0,0
112,MIN,GB,34,23,0,BGIMN2,0,0,1,0,0
113,NYJ,KC,52,11,0,CJKNY1,1,0,0,0,0
114,MIA,LAR,86,10,1,AAILMR1,0,0,1,0,0
115,DAL,PHI,49,17,0,ADHILP1,0,0,1,0,0
116,BAL,PIT,52,7,1,ABILPT1,0,0,1,0,0
117,SF,SEA,55,4,0,AEFSS1,0,1,0,0,0
118,TB,NYG,39,8,0,BGNTY1,0,1,0,0,0
119,GB,SF,78,5,0,BFGS1,0,0,1,0,0
120,DEN,ATL,72,0,0,ADELNT1,0,1,0,0,0
121,SEA,BUF,69,4,0,ABEFSU1,1,0,0,0,0
122,BAL,IND,72,0,0,ABDILN1,0,1,0,0,0
123,MIA,ARI,72,0,0,AAIIMR1,0,0,1,0,0
124,PIT,DAL,72,0,0,ADILPT1,0,1,0,0,0
