,team1,team2,Temp,Wind_speed,team1_home_A,astroturf,fieldturf,grass,matrixturf,sportturf,Game_id
95,HOU,ARI,72,0,0,0,0,1,0,0,AHIORU1
96,WSH,GB,49,11,0,0,0,1,0,0,BGHSW1
97,ATL,MIA,85,9,0,0,0,1,0,0,AAILMT1
98,NYJ,NE,52,0,0,0,1,0,0,0,EJNNY2
99,CAR,NYG,57,0,0,0,1,0,0,0,ACGNRY1
100,KC,TEN,74,14,0,0,0,1,0,0,CEKNT1
101,PHI,OAK,72,0,0,0,0,1,0,0,AHIKOP1
102,DET,LAR,72,0,0,0,0,0,1,0,ADELRT1
103,CIN,BAL,61,6,0,0,0,1,0,0,ABCILN1
104,SF,IND,64,16,1,0,0,1,0,0,DFINS1
105,CHI,TB,83,7,0,0,0,1,0,0,BCHIT1
106,NO,SEA,54,16,0,0,1,0,0,0,AENOS1
107,GB,ARI,72,0,0,0,0,1,0,0,ABGIR1
108,CAR,ATL,72,0,0,0,1,0,0,0,AACLRT1
109,MIA,BUF,54,9,0,1,0,0,0,0,ABFIMU2
110,SF,CHI,53,12,0,0,0,1,0,0,CFHIS1
111,PIT,CLE,57,13,0,0,0,1,0,0,CEILPT1
112,TEN,IND,72,0,0,0,1,0,0,0,DEINNT2
113,DEN,WSH,41,4,1,0,0,1,0,0,DEHNSW1
114,PHI,DET,72,0,0,0,1,0,0,0,DEHIPT1
115,HOU,LAR,72,0,1,1,0,0,0,0,AHLORU1
116,MIN,DAL,72,0,1,0,0,0,0,1,ADILMN1
117,TB,NO,72,0,0,0,0,0,0,1,BNOT1
118,CIN,NYJ,63,11,0,0,1,0,0,0,CIJNNY1
119,NE,LAC,72,0,0,0,0,0,1,0,ACELN1
120,JAX,SEA,54,8,0,0,1,0,0,0,AAEJSX1
121,NYG,KC,39,4,0,0,0,1,0,0,CGKNY1
122,IND,NYJ,72,0,1,0,1,0,0,0,DIJNNY1
123,NE,CAR,61,16,0,0,0,1,0,0,ACENR1
124,CLE,CIN,56,0,0,0,1,0,0,0,CCEILN1
125,DAL,DEN,72,0,1,0,0,0,1,0,ADDELN1
126,BUF,JAX,59,16,0,0,0,1,0,0,ABFJUX1
127,GB,KC,51,12,0,0,0,1,0,0,BCGK1
